"parent_app_content_id","content_id","type"
"d2bde35599e0dae9","227227a77c59809b","consumable"
"d2bde35599e0dae9","41ac2362a2600185","consumable"
"d2bde35599e0dae9","64a8e16f030bb611","consumable"
"d2bde35599e0dae9","2c8ba424183afa7c","consumable"
"d2bde35599e0dae9","b4c42fa5cc420f7b","consumable"
"d2bde35599e0dae9","a4276a8b8c4733e0","consumable"
"d2bde35599e0dae9","04682362ebaaae06","consumable"
"d2bde35599e0dae9","2935317cf9f1040b","consumable"
"d2bde35599e0dae9","09d4a49d55ee4893","consumable"
"d2bde35599e0dae9","e6551cfea498bf72","consumable"
"d2bde35599e0dae9","7de1de7d428b738d","consumable"
"d2bde35599e0dae9","5e588c1da66cc637","consumable"
"d2bde35599e0dae9","df1971444eeecab2","consumable"
"d2bde35599e0dae9","568a6ff743f1d4b7","consumable"
"d2bde35599e0dae9","9bd0ad7ca7a63915","consumable"
"d2bde35599e0dae9","dc416039b5ba50ae","consumable"
"d2bde35599e0dae9","cd68cabb1fece19c","consumable"
"47a405447e564935","2dd0a1e11324152b","subscription"
"47a405447e564935","572c2a19715e2ddd","subscription"
"47a405447e564935","51d41d48934d41a5","subscription"
"dfb4b79ebaa2f9b2","1bdf7901eaa65ab1","consumable"
"dfb4b79ebaa2f9b2","95c3b8113f3054ce","consumable"
"cdddeb6475a8c261","d892d4bc63dd228a","subscription"
"cdddeb6475a8c261","2930b732cb988276","subscription"
"cdddeb6475a8c261","34c7926f60cb12db","subscription"
"cd850fd8019a657a","7a56163727c086a2","consumable"
"cd850fd8019a657a","deacd83d1df12c1b","consumable"
"cd850fd8019a657a","d94c00a5f79851a2","consumable"
"cd850fd8019a657a","b8423008f712c0d8","consumable"
"cd850fd8019a657a","69594f16703da00a","consumable"
"c220760b7bf6df97","999e2b1896503b49","consumable"
"ff0e2aceea49b8f0","4d0e38fc40dcb88f","consumable"
"ff0e2aceea49b8f0","3057868a9493df14","consumable"
"a08166811601464c","579c1f0c1d83dc8a","consumable"
"a08166811601464c","2937d9fc9e5afd97","consumable"
"a08166811601464c","0709e76f25e61fc3","consumable"
"a08166811601464c","e75c55420c53357f","consumable"
"a08166811601464c","8b9719f6ece4ec32","consumable"
"0d8f5f09ea7a4771","ff02e968494b8f86","consumable"
"fd30eb3e95d0d394","3840bee5a8b54a70","consumable"
"fd30eb3e95d0d394","8b14ff51807caaea","consumable"
"c7dc3a66def69dc4","244bf5d530b41148","consumable"
"c7dc3a66def69dc4","83c19036606765b3","consumable"
"c7dc3a66def69dc4","076c6e1aa53ccd3e","consumable"
"f79cbce90893fa14","33f6784f3c4e0ca8","consumable"
"f79cbce90893fa14","309f84265a56c936","consumable"
"f79cbce90893fa14","c62bd58ac78bbf27","consumable"
"f79cbce90893fa14","7d352d6b70e187b5","consumable"
"f79cbce90893fa14","2ac2eefd5d6bd992","consumable"
"2e738a49b2e31739","16bcb2cc1d364b2b","consumable"
"2e738a49b2e31739","dd258d435b4cce89","consumable"
